ID,100_initial_infections_at,Name,Beijing_100_infections_time,distance_from_Beijing,population,Longitude,Latitude
120000,Tianjinshi_120000,Tianjin Municipality,42,3560385.8519032598,16505801.933655977,117.30407475283846,39.288796727896454
130100,Shijiazhuangshi_130100,Shijiazhuang,48,3259719.7463101414,11160985.597645283,114.4186325750596,38.12659395355915
130200,Tangshanshi_130200,Tangshan,46,3622335.3030686257,7976681.030059218,118.30128645803299,39.73541280273372
130300,Qinhuangdaoshi_130300,Qinhuangdao,44,3725935.176390191,3152923.984348297,119.14649936416161,40.06597069202125
130400,Handanshi_130400,Handan,49,3348619.5325319753,9896664.804241657,114.5107956120931,36.54532517321141
130500,Xingtaishi_130500,Xingtai,51,3356262.073102811,7539623.478119612,114.79567040956883,37.204582884073794
130600,Baodingshi_130600,Baoding,39,3262387.2445218083,11856361.885969281,115.14808224537106,39.00418914287597
130700,Zhangjiakoushi_130700,Zhangjiakou,37,3179207.4888494764,4520805.760648459,115.01236175133266,40.85210732031606
130800,Chengdeshi_130800,Chengde,40,3393328.319114086,3642433.6826312244,117.51768450514456,41.31897378378173
130900,Cangzhoushi_130900,Cangzhou,47,3495050.108944336,7542077.562909603,116.72359637799916,38.25178498761229
131000,Langfangshi_131000,Langfang,27,3493496.3088103207,4798291.1290819645,116.61318701217814,39.25740103559645
131100,Hengshuishi_131100,Hengshui,47,3463644.8550384897,4363990.025298834,115.79621270586057,37.754812691758225
140100,Taiyuanshi_140100,Taiyuan,53,3074158.467388624,5378234.544834495,112.29510324308,37.94760741898498
140200,Datongshi_140200,Datong,49,3086030.725618121,3656573.1295926273,113.69478687330687,39.89933357255846
140300,Yangquanshi_140300,Yangquan,57,3213223.012752584,1459445.156612873,113.46654287715072,38.06221290117722
140400,Zhangzhishi_140400,Changzhi,59,3194321.29852453,3532363.036386609,112.89358776942207,36.46902147372339
140500,Jinchengshi_140500,Jincheng,63,3260574.16221411,2408313.896113038,112.68207973418511,35.60445299744341
140600,Shuozhoushi_140600,Shuozhou,57,3034695.2147955354,2034386.60841614,112.60499594539539,39.617901002810534
