Name:,GB_Code:
Beijingshi,110000
Tianjinshi,120000
Shijiazhuangshi,130100
Tangshanshi,130200
Qinhuangdaoshi,130300
Handanshi,130400
Xingtaishi,130500
Baodingshi,130600
Zhangjiakoushi,130700
Chengdeshi,130800
Cangzhoushi,130900
Langfangshi,131000
Hengshuishi,131100
Taiyuanshi,140100
Datongshi,140200
Yangquanshi,140300
Zhangzhishi,140400
Jinchengshi,140500
Shuozhoushi,140600
Jinzhongshi,140700
Yunchengshi,140800
Xinzhoushi,140900
Linfenshi,141000
Lvliangshi,141100
Huhehaoteshi,150100
Baotoushi,150200
Wuhaishi,150300
Chifengshi,150400
Tongliaoshi,150500
Eerduosishi,150600
Hulunbeiershi,150700
Bayannaoershi,150800
Wulanchabushi,150900
Xinganmeng,152200
Xilinguoleimeng,152500
Alashanmeng,152900
Shenyangshi,210100
Dalianshi,210200
Anshanshi,210300
Fushunshi,210400
Benxishi,210500
Dandongshi,210600
Jinzhoushi,210700
Yingkoushi,210800
Fuxinshi,210900
Liaoyangshi,211000
Panjinshi,211100
Tielingshi,211200
Zhaoyangshi,211300
Huludaoshi,211400
Changchunshi,220100
Jilinshi,220200
Sipingshi,220300
Liaoyuanshi,220400
Tonghuashi,220500
Baishanshi,220600
Songyuanshi,220700
Baichengshi,220800
Yanbianchaoxianzuzizhizhou,222400
Haerbinshi,230100
Qiqihaershi,230200
Jixishi,230300
Hegangshi,230400
Shuangyashanshi,230500
Daqingshi,230600
Jiamusishi,230800
Qitaiheshi,230900
Mudanjiangshi,231000
Heiheshi,231100
Suihuashi,231200
Daxinganlingdiqu,232700
Shanghaishi,310000
Nanjingshi,320100
Wuxishi,320200
Xuzhoushi,320300
Changzhoushi,320400
Nantongshi,320600
Lianyungangshi,320700
Huaianshi,320800
Yanchengshi,320900
Yangzhoushi,321000
Zhenjiangshi,321100
Suqianshi,321300
Hangzhoushi,330100
Ningboshi,330200
Wenzhoushi,330300
Jiaxingshi,330400
Huzhoushi,330500
Shaoxingshi,330600
Jinhuashi,330700
Quzhoushi,330800
Zhoushanshi,330900
Lishuishi,331100
Hefeishi,340100
Wuhushi,340200
Bengbushi,340300
Huainanshi,340400
Maanshanshi,340500
Huaibeishi,340600
Tonglingshi,340700
Anqingshi,340800
Huangshanshi,341000
Chuzhoushi,341100
Fuyangshi,341200
Luanshi,341500
Bozhoushi,341600
Chizhoushi,341700
Xuanchengshi,341800
Xiamenshi,350200
Putianshi,350300
Sanmingshi,350400
Quanzhoushi,350500
Zhangzhoushi,350600
Nanpingshi,350700
Longyanshi,350800
Ningdeshi,350900
Nanchangshi,360100
Jingdezhenshi,360200
Pingxiangshi,360300
Jiujiangshi,360400
Xinyushi,360500
Yingtanshi,360600
Ganzhoushi,360700
Jianshi,360800
Shangraoshi,361100
Jinanshi,370100
Qingdaoshi,370200
Ziboshi,370300
Zaozhuangshi,370400
Dongyingshi,370500
Yantaishi,370600
Weifangshi,370700
Jiningshi,370800
Taianshi,370900
Weihaishi,371000
Rizhaoshi,371100
Linyishi,371300
Dezhoushi,371400
Liaochengshi,371500
Binzhoushi,371600
Hezeshi,371700
Zhengzhoushi,410100
Kaifengshi,410200
Luoyangshi,410300
Pingdingshanshi,410400
Anyangshi,410500
Hebishi,410600
Xinxiangshi,410700
Jiaozuoshi,410800
Puyangshi,410900
Xuchangshi,411000
Taheshi,411100
Sanmenxiashi,411200
Nanyangshi,411300
Shangqiushi,411400
Xinyangshi,411500
Zhoukoushi,411600
Zhumadianshi,411700
Jiyuanshi,419001
Wuhanshi,420100
Huangshishi,420200
Shiyanshi,420300
Yichangshi,420500
Xiangyangshi,420600
Ezhoushi,420700
Jingmenshi,420800
Xiaoganshi,420900
Jingzhoushi,421000
Huanggangshi,421100
Xianningshi,421200
Suizhoushi,421300
Enshitujiazumiaozuzizhizhou,422800
Xiantaoshi,429004
Qianjiangshi,429005
Tianmenshi,429006
Shennongjialinqu,429021
Changshashi,430100
Zhuzhoushi,430200
Xiangtanshi,430300
Hengyangshi,430400
Shaoyangshi,430500
Yueyangshi,430600
Changdeshi,430700
Zhangjiajieshi,430800
Yiyangshi,430900
Chenzhoushi,431000
Yongzhoushi,431100
Huaihuashi,431200
Loudishi,431300
Xiangxitujiazumiaozuzizhizhou,433100
Guangzhoushi,440100
Shaoguanshi,440200
Shenzhenshi,440300
Zhuhaishi,440400
Shantoushi,440500
Foshanshi,440600
Jiangmenshi,440700
Zhanjiangshi,440800
Maomingshi,440900
Zhaoqingshi,441200
Huizhoushi,441300
Meizhoushi,441400
Shanweishi,441500
Heyuanshi,441600
Yangjiangshi,441700
Qingyuanshi,441800
Dongguanshi,441900
Zhongshanshi,442000
Chaozhoushi,445100
Jieyangshi,445200
Yunfushi,445300
Nanningshi,450100
Liuzhoushi,450200
Guilinshi,450300
Wuzhoushi,450400
Beihaishi,450500
Fangchenggangshi,450600
Qinzhoushi,450700
Guigangshi,450800
Baiseshi,451000
Hezhoushi,451100
Hechishi,451200
Laibinshi,451300
Chongzuoshi,451400
Haikoushi,460100
Sanyashi,460200
Sanshashi,460300
Danzhoushi,460400
Wuzhishanshi,469001
Qionghaishi,469002
Wenchangshi,469005
Wanningshi,469006
Dongfangshi,469007
Dinganxian,469021
Tunchangxian,469022
Chengmaixian,469023
Lingaoxian,469024
Baishalizuzizhixian,469025
Changjianglizuzizhixian,469026
Ledonglizuzizhixian,469027
Lingshuilizuzizhixian,469028
Baotinglizumiaozuzizhixian,469029
Qiongzhonglizumiaozuzizhixian,469030
Chongqingshi,500000
Chengdushi,510100
Zigongshi,510300
Panzhihuashi,510400
Luzhoushi,510500
Deyangshi,510600
Mianyangshi,510700
Guangyuanshi,510800
Suiningshi,510900
Neijiangshi,511000
Leshanshi,511100
Nanchongshi,511300
