"","GB_Code.","Name.","ADM2_EN","ADM2_PCODE","flag_type"
"1",652900,"Akesudiqu","Aksu Prefecture","CN065020","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"2",659003,"Tumushukeshi","Aksu Prefecture","CN065020","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"3",659002,"Alaershi","Aksu Prefecture","CN065020","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"4",654300,"Aleitaidiqu","Altay Prefecture","CN065030","none"
"5",152900,"Alashanmeng","Alxa League","CN015010","none"
"6",610900,"Ankangshi","Ankang","CN061010","none"
"7",340800,"Anqingshi","Anqing","CN034010","none"
"8",210300,"Anshanshi","Anshan","CN021010","none"
"9",520400,"Anshunshi","Anshun","CN052010","none"
"10",410500,"Anyangshi","Anyang","CN041010","none"
"11",650100,"Wulumuqishi","Ürümqi","CN065010","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"12",659004,"Wujiaqushi","Ürümqi","CN065010","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"13",220800,"Baichengshi","Baicheng","CN022010","none"
"14",451000,"Baiseshi","Baise","CN045010","none"
"15",469025,"Baishalizuzizhixian","Baisha Li Autonomous County","CN046010","none"
"16",220600,"Baishanshi","Baishan","CN022020","none"
"17",620400,"Baiyinshi","Baiyin","CN062010","none"
"18",130600,"Baodingshi","Baoding","CN013010","none"
"19",610300,"Baojishi","Baoji","CN061020","none"
"20",530500,"Baoshanshi","Baoshan","CN053010","none"
"21",469029,"Baotinglizumiaozuzizhixian","Baoting Li and Miao Autonomous County","CN046020","none"
"22",150200,"Baotoushi","Baotou","CN015020","none"
"23",150800,"Bayannaoershi","Bayannur","CN015030","none"
"24",652800,"Bayinguolengmengguzizhizhou","Bayingolin Mongolia Autonomous Prefecture","CN065040","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"25",659006,"Tiemenguanshi","Bayingolin Mongolia Autonomous Prefecture","CN065040","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"26",511900,"Bazhongshi","Bazhong","CN051010","none"
"27",450500,"Beihaishi","Beihai","CN045020","none"
"28",110000,"Beijingshi","Beijing Municipality","CN011010","none"
"29",340300,"Bengbushi","Bengbu","CN034020","none"
"30",210500,"Benxishi","Benxi","CN021020","none"
"31",520500,"Bijieshi","Bijie","CN052020","none"
"32",371600,"Binzhoushi","Binzhou","CN037010","none"
"33",652700,"Boertalamengguzizhizhou","Bortala Mongol Autonomous Prefecture","CN065050","none"
"34",341600,"Bozhoushi","Bozhou","CN034030","none"
"35",130900,"Cangzhoushi","Cangzhou","CN013020","none"
"36",220100,"Changchunshi","Changchun","CN022030","none"
"37",430700,"Changdeshi","Changde","CN043010","none"
"38",652300,"Changjihuizuzizhizhou","Changji Hui Autonomous Prefecture","CN065060","none"
"39",469026,"Changjianglizuzizhixian","Changjiang Li Autonomous County","CN046030","none"
"40",430100,"Changshashi","Changsha","CN043020","none"
"41",140400,"Zhangzhishi","Changzhi","CN014010","none"
"42",320400,"Changzhoushi","Changzhou","CN032010","none"
"43",211300,"Zhaoyangshi","Chaoyang","CN021030","none"
"44",445100,"Chaozhoushi","Chaozhou","CN044010","none"
"45",130800,"Chengdeshi","Chengde","CN013030","none"
"46",510100,"Chengdushi","Chengdu","CN051020","none"
"47",469023,"Chengmaixian","Chengmai County","CN046040","none"
"48",431000,"Chenzhoushi","Chenzhou","CN043030","none"
"49",150400,"Chifengshi","Chifeng","CN015040","none"
"50",341700,"Chizhoushi","Chizhou","CN034040","none"
"51",500000,"Chongqingshi","Chongqing Municipality","CN050010","none"
"52",451400,"Chongzuoshi","Chongzuo","CN045030","none"
"53",532300,"Chuxiongyizuzizhizhou","Chuxiong Yi Autonomous Prefecture","CN053020","none"
"54",341100,"Chuzhoushi","Chuzhou","CN034050","none"
"55",533400,"Diqingzangzuzizhizhou","Dêqên Tibetan Autonomous Prefecture","CN053030","none"
"56",532900,"Dalibaizuzizhizhou","Dali Bai Autonomous Prefecture","CN053040","none"
"57",210200,"Dalianshi","Dalian","CN021040","none"
"58",210600,"Dandongshi","Dandong","CN021050","none"
"59",460400,"Danzhoushi","Danzhou","CN046050","none"
"60",230600,"Daqingshi","Daqing","CN023010","none"
"61",140200,"Datongshi","Datong","CN014020","none"
"62",232700,"Daxinganlingdiqu","Daxinganling Prefecture","CN023020","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"63",411100,"Taheshi","Daxinganling Prefecture","CN023020","As there is only one polygon for multiple GB_Codes you should MERGFE FLOW "
"64",511700,"Dazhoushi","Dazhou","CN051030","none"
"65",533100,"Dehongdaizujingpozuzizhizhou","Dehong Dai and Jingpo Autonomous Prefecture","CN053050","none"
"66",510600,"Deyangshi","Deyang","CN051040","none"
"67",371400,"Dezhoushi","Dezhou","CN037020","none"
"68",469021,"Dinganxian","Ding'an County","CN046060","none"
"69",621100,"Dingxishi","Dingxi","CN062020","none"
"70",469007,"Dongfangshi","Dongfang City","CN046070","none"
"71",441900,"Dongguanshi","Dongguan","CN044020","none"
"72",370500,"Dongyingshi","Dongying","CN037030","none"
"73",422800,"Enshitujiazumiaozuzizhizhou","Enshi Tujia and Miao Autonomous Prefecture","CN042010","none"
"74",420700,"Ezhoushi","Ezhou","CN042020","none"
"75",450600,"Fangchenggangshi","Fangchenggang","CN045040","none"
"76",440600,"Foshanshi","Foshan","CN044030","none"
"77",210400,"Fushunshi","Fushun","CN021060","none"
"78",210900,"Fuxinshi","Fuxin","CN021070","none"
"79",341200,"Fuyangshi","Fuyang","CN034060","none"
"80",623000,"Gannanzangzuzizhizhou","Gannan Tibetan Autonomous Prefecture","CN062030","none"
"81",360700,"Ganzhoushi","Ganzhou","CN036020","none"
"82",513300,"Ganzizangzuzizhizhou","Garzê Tibetan Autonomous Prefecture","CN051050","none"
"83",632600,"Guoluozangzuzizhizhou","Golog Tibetan Autonomous Prefecture","CN063010","none"
"84",511600,"Guanganshi","Guang'an","CN051060","none"
"85",510800,"Guangyuanshi","Guangyuan","CN051070","none"
"86",440100,"Guangzhoushi","Guangzhou","CN044040","none"
"87",450800,"Guigangshi","Guigang","CN045050","none"
"88",450300,"Guilinshi","Guilin","CN045060","none"
"89",520100,"Guiyangshi","Guiyang","CN052030","none"
"90",640400,"Guyuanshi","Guyuan","CN064010","none"
