,population,distance_from_Beijing,R_0 1.5,R_0 2,R_0 3,R_0 4,R_0 5,R_0 6,Total_route_length_m,travel_time_S,travel_time_S_Google,DegreeCentrality,EigenvectorCentrality,PageRank,WeightedPersonalizedPagerank,Hubs,BetweennessCentrality,WeightedPersonalizedPagerankWuhanOutflow,WeightedPersonalizedPagerankBeijingInflow
Tianjinshi_120000,16505801.933655975,3560385.85190326,114,69,42,32,27,23,201900.3410000001,4894.799999999999,5400,1.536873156342183,0.0157023791408311,0.0083607647449419,0.0280240701896637,0.0037057240212049,0.0037057240212049,0.0056746973405422,0.0327608718135519
Shijiazhuangshi_130100,11160985.597645285,3259719.7463101414,136,81,48,37,31,27,358179.4670000008,6847.099999999997,11580,1.710914454277286,0.0079576508164405,0.0056145953371273,0.0144593853788725,0.0017312084590921,0.0017312084590921,0.0037531293288287,0.0164251429474839
Tangshanshi_130200,7976681.030059218,3622335.3030686257,128,76,46,35,29,26,206815.944,6254.499999999998,9600,1.6253687315634218,0.009488305001684,0.0040353221236685,0.0111831489070915,0.0022186269974044,0.0022186269974044,0.0024158627346955,0.0129422999068206
Qinhuangdaoshi_130300,3152923.984348297,3725935.176390191,121,71,44,33,28,24,306996.92,7798.7,12240,1.775811209439528,0.0024002606323608,0.0024911936764048,0.0056742532529935,0.0005640392734735,0.0005640392734735,0.0013660514274364,0.006500656613867
Handanshi_130400,9896664.804241655,3348619.532531976,140,82,49,38,31,27,561370.4409999993,10103.59999999999,16980,1.640117994100295,0.0057210875654356,0.0038229292916002,0.008577081567289,0.0012780139376818,0.0012780139376818,0.0025898256586063,0.0097133162691744
Xingtaishi_130500,7539623.478119612,3356262.073102811,148,87,51,40,33,29,498494.1770000004,9933.599999999997,15300,1.7256637168141593,0.007802309041789,0.0034625412026532,0.0073553279418145,0.0017253656051525,0.0017253656051525,0.0022791319453815,0.0082135004425324
Baodingshi_130600,11856361.88596928,3262387.2445218083,104,63,39,30,25,22,244837.538,4692.200000000001,8400,1.6342182890855457,0.011590648989676,0.005694785742364,0.0235501029445111,0.0030113811425323,0.0030113811425323,0.0038073531688906,0.0278200603043608
Zhangjiakoushi_130700,4520805.760648459,3179207.4888494764,101,61,37,29,24,21,225132.86,5645.100000000001,9660,1.7876106194690264,0.0037743953780543,0.0024953911766594,0.0091364321093559,0.0010653560635219,0.0010653560635219,0.0013085539406336,0.0107741474820387
Chengdeshi_130800,3642433.682631224,3393328.319114086,107,64,40,30,25,22,264754.77999999985,5917.399999999995,13680,1.7581120943952802,0.0027229297125954,0.0020207206546688,0.0064260932326262,0.0007288023910438,0.0007288023910438,0.0009751930286685,0.0075286967677861
Cangzhoushi_130900,7542077.562909603,3495050.108944336,130,78,47,36,30,26,278055.538,5472.4000000000015,9840,1.6106194690265487,0.0100112024175791,0.004041581764882,0.0110050688085908,0.002227837201437,0.002227837201437,0.0025438241406462,0.01272350702854
Langfangshi_131000,4798291.1290819645,3493496.3088103207,69,43,27,21,18,16,145582.08400000006,4771.700000000003,5400,1.6224188790560472,0.0199520986618663,0.0066252188990276,0.0387001527897787,0.005558497695386,0.005558497695386,0.0045680213087292,0.0464785511342016
Hengshuishi_131100,4363990.025298834,3463644.8550384897,132,78,47,36,30,26,355854.1719999995,6750.399999999998,11340,1.7168141592920354,0.0048533410636923,0.0026810439593729,0.0063686358377097,0.0010439687393206,0.0010439687393206,0.0015283290138245,0.0072811748447299
Taiyuanshi_140100,5378234.544834495,3074158.467388624,152,88,53,39,33,29,635155.3380000012,14775.900000000014,22500,1.6607669616519174,0.0048970400731096,0.0061030821784582,0.007730596455563,0.000963711291551,0.000963711291551,0.0033559609495337,0.0077274307071643
Datongshi_140200,3656573.1295926273,3086030.725618121,141,83,49,38,32,27,353301.11200000026,8357.9,13800,1.7374631268436578,0.0010732544759727,0.0025573802509692,0.0039280076411916,0.0002648990355783,0.0002648990355783,0.0010781076686645,0.0042352759807605
Yangquanshi_140300,1459445.156612873,3213223.012752584,159,93,57,41,35,30,510752.41900000087,10046.599999999991,15480,1.6430678466076696,0.0005573104343055,0.0012936118128631,0.0013399051561996,0.0001038483651796,0.0001038483651796,0.0005022782538689,0.0013176263961264
Zhangzhishi_140400,3532363.036386609,3194321.29852453,163,96,59,44,37,32,740277.7680000006,13523.400000000012,26100,0.7817109144542773,7.217526023167567e-107,0.0004411764705882,0.0,-0.0,-0.0,0.0,0.0022542418959662
Jinchengshi_140500,2408313.896113038,3260574.16221411,181,105,63,46,39,34,826545.0370000001,14890.900000000023,30360,1.7404129793510323,0.0006796650430617,0.0014286039610672,0.0012883205970382,0.0001632300715968,0.0001632300715968,0.0006685656969812,0.0010098995480216
Shuozhoushi_140600,2034386.60841614,3034695.2147955354,158,94,57,42,35,31,466527.22800000047,9497.2,18840,1.663716814159292,0.0004775890109722,0.0018639152403022,0.0022025605895591,0.0001094273435912,0.0001094273435912,0.0007072565121205,0.0022800482733973
Jinzhongshi_140700,3525701.682365417,3132202.915497064,164,96,58,43,36,31,640523.1340000014,12444.5,24060,1.7256637168141593,0.0068629110905896,0.0038314224151912,0.0044626545330358,0.0015153300423306,0.0015153300423306,0.0020545670414067,0.0043212870267652
Yunchengshi_140800,5526741.49804306,3124070.618184418,173,100,61,45,37,32,1038008.9580000011,18376.50000000002,32340,1.6902654867256637,0.0012995567910924,0.0024405172709571,0.002386980814404,0.0003044478965097,0.0003044478965097,0.0014371404716345,0.002378967757593
Xinzhoushi_140900,3157592.1086147428,2966176.9483494894,157,92,56,41,35,30,545874.1210000003,11266.000000000013,21780,1.7433628318584071,0.0011564506022568,0.0025402970662101,0.0032549498434103,0.0002434698199086,0.0002434698199086,0.0012401419235285,0.0033449540599536
Linfenshi_141000,4931468.356818914,3029485.677388369,165,96,58,43,36,31,938868.5820000004,16796.400000000023,29280,1.6814159292035398,0.0011693959076095,0.0025011402106883,0.0026971091291186,0.0002653103298494,0.0002653103298494,0.001430515851129,0.0027202523569374
Huhehaoteshi_150100,3432674.6505264044,2815646.914105651,142,82,49,38,31,27,544264.2930000003,11940.899999999996,20280,1.7728613569321534,0.0023447700893955,0.0041501258380941,0.004954962756615,0.0005423810541138,0.0005423810541138,0.0017506364232774,0.0050615784320095
Baotoushi_150200,3114012.558115214,2656246.635353337,155,90,55,40,34,30,699719.9799999994,19154.599999999984,31080,1.752212389380531,0.0009016350122162,0.0028779806782216,0.0029760278925987,0.0001800037186065,0.0001800037186065,0.0010591910554146,0.0029701333751321
Wuhaishi_150300,684964.1943908631,2489757.781329006,169,99,59,43,36,32,1089963.797000001,19843.600000000017,38040,1.542772861356932,0.0002250691184613,0.0017225361409143,0.0009115737011587,2.282489181928189e-05,2.282489181928189e-05,0.0004785217543316,0.0008975924271264
Chifengshi_150400,4173962.418392569,3398900.5699904147,146,86,50,39,33,28,551010.7070000002,14744.50000000001,24300,1.7374631268436578,0.0008415381124122,0.0021763141143274,0.0030300504800745,0.000220109740225,0.000220109740225,0.0006919064030099,0.0033916165301778
Tongliaoshi_150500,3246610.565872237,3696935.990316418,169,98,60,43,37,32,846764.6520000005,21199.9,33480,1.5870206489675516,0.0003776387100738,0.0019797853069193,0.0017726544696378,9.9486652675967e-05,9.9486652675967e-05,0.0005155531788567,0.0018537681771632
Eerduosishi_150600,2749650.737619549,2475187.345457168,162,95,58,43,36,31,909388.2610000002,15996.20000000002,33300,1.6047197640117994,0.0046391921750011,0.0036126526827868,0.003289313397606,0.0010261448691747,0.0010261448691747,0.0013942675948067,0.0031810136742906
Hulunbeiershi_150700,2563286.430618271,3302230.407123528,178,102,62,45,38,33,1840827.528,39616.09999999997,80940,1.7551622418879056,0.0008379921955021,0.0016799584095743,0.0011727167407217,0.0001942428809934,0.0001942428809934,0.0005595528222744,0.0010301040891382
Bayannaoershi_150800,1650138.55654791,2240799.648799864,167,98,59,44,37,32,969419.5279999996,20585.99999999999,40440,1.592920353982301,0.0003423854195588,0.0017580268793731,0.0014031197492922,7.004383211949357e-05,7.004383211949357e-05,0.0005273167298002,0.0013058052380014
Wulanchabushi_150900,1994853.7794875205,2755350.435083092,142,84,50,38,32,28,570863.0739999998,16172.999999999996,23940,1.6194690265486726,0.0006225391650664,0.0022694822686434,0.0028806406320261,0.0001490665651741,0.0001490665651741,0.0008137930114212,0.0029990841540778
Xinganmeng_152200,1567374.4814848304,3733308.945125215,178,103,62,45,38,33,1188376.4930000014,22007.899999999987,52740,1.5132743362831858,0.000175613863524,0.0014441826946581,0.0009311659158996,4.448779828312608e-05,4.448779828312608e-05,0.0003456831252608,0.0008758044192305
