Location,distance_from_Beijing,population,Total_route_length_m,travel_time_S
Kelamayishi_650200,0.0,289780.22494870424,3415761.9279999956,77417.29999999986
Changjihuizuzizhizhou_652300,0.0,3123685.631520614,2963250.761999995,67553.10000000002
Boertalamengguzizhizhou_652700,88367.46787347808,464228.562254548,3497331.6099999957,80179.59999999993
Shihezishi_659001,109958.03804777205,567232.1615432501,3150977.4269999964,71198.89999999992
Aleitaidiqu_654300,132052.32145394702,665286.8605658114,3308804.526999996,73456.49999999981
Yilihasakezizhizhou_654000,145920.18946284146,2398408.0038330555,3558536.144999997,79083.79999999993
Bayinguolengmengguzizhizhou_652800,181714.7961977727,1557057.9313901665,3665154.917999997,79603.39999999992
Akesudiqu_652900,336400.0634661042,2834335.222719312,3891544.5219999948,85478.69999999995
Tulufanshi_650400,344028.37161141774,703923.1044078171,2746731.6509999973,67576.90000000002
Hamishi_650500,633619.1185324708,665927.6035458893,2379135.6199999987,54786.19999999991
Hetiandiqu_653200,786534.3362968535,2409086.505001188,4190827.5809999947,88798.69999999994
Kezileisukeerkezizizhizhou_653000,854140.8496933667,715692.4933770894,4358550.889999993,91407.69999999991
Kashidiqu_653100,876421.6062890553,4737869.877841413,4399955.147999986,90213.19999999991
Jiuquanshi_620900,1078101.6106655838,1210099.8064924255,2342556.3559999987,58037.99999999982
Haiximengguzuzangzuzizhizhou_632800,1094433.5967877298,722464.8529003263,2626084.8029999994,68474.79999999994
Alashanmeng_152900,1338003.360418285,298964.8749966826,1521831.9360000002,44476.79999999987
Zhangyeshi_620700,1582086.5566255916,1146701.8943299055,2203266.606999998,53304.59999999985
Jiayuguanshi_620200,1607470.124268333,284589.6789858043,2165296.1730000004,51920.69999999988
Guoluozangzuzizhizhou_632600,1931312.192064948,230336.3936291933,2579484.560999999,66401.8999999999
Hainanzangzuzizhizhou_632500,1939545.0253761471,524489.9839630127,2030415.4549999998,47394.09999999988
Jinchangshi_620300,2039557.8887115608,476982.3227905631,1755866.6500000001,37701.99999999992
Xiningshi_630100,2065235.8676047607,2647902.21474123,1976095.9589999993,45541.699999999866
Haidongshi_630200,2179291.2998129283,1392483.8983876703,1766529.638,37988.999999999935
Huangnanzangzuzizhizhou_632300,2202606.947690122,323114.5818274021,1929244.9299999992,43803.69999999985
Bayannaoershi_150800,2240799.648799864,1650138.55654791,969419.5279999995,20585.99999999999
Lanzhoushi_620100,2293821.146621597,4106425.199535311,1630657.4750000006,32367.999999999993
Gannanzangzuzizhizhou_623000,2307402.009141705,726061.2006382942,2617169.6419999963,44297.699999999975
